[363903][303][  0]=30604241514062604
[363904][303][  1]=30604241514062606
[363905][303][  2]=30604241514062624
[363906][303][  3]=30604241514062626
[363907][303][  4]=30604241514240404
[363908][303][  5]=30604241514240406
[363909][303][  6]=30604241514240424
[363910][303][  7]=30604241514240426
[363911][303][  8]=30604241514240604
[363912][303][  9]=30604241514240606
[363913][303][ 10]=30604241514240624
[363914][303][ 11]=30604241514240626
[363915][303][ 12]=30604241514242404
[363916][303][ 13]=30604241514242406
[363917][303][ 14]=30604241514242424
[363918][303][ 15]=30604241514242426
[363919][303][ 16]=30604241514242604
[363920][303][ 17]=30604241514242606
[363921][303][ 18]=30604241514242624
[363922][303][ 19]=30604241514242626
[363923][303][ 20]=30604241514260404
[363924][303][ 21]=30604241514260406
[363925][303][ 22]=30604241514260424
[363926][303][ 23]=30604241514260426
[363927][303][ 24]=30604241514260604
[363928][303][ 25]=30604241514260606
[363929][303][ 26]=30604241514260624
[363930][303][ 27]=30604241514260626
[363931][303][ 28]=30604241514262404
[363932][303][ 29]=30604241514262406
[363933][303][ 30]=30604241514262424
[363934][303][ 31]=30604241514262426
[363935][303][ 32]=30604241514262604
[363936][303][ 33]=30604241514262606
[363937][303][ 34]=30604241514262624
[363938][303][ 35]=30604241514262626
[363939][303][ 36]=30604241516040404
[363940][303][ 37]=30604241516040406
[363941][303][ 38]=30604241516040424
[363942][303][ 39]=30604241516040426
[363943][303][ 40]=30604241516040604
[363944][303][ 41]=30604241516040606
[363945][303][ 42]=30604241516040624
[363946][303][ 43]=30604241516040626
[363947][303][ 44]=30604241516042404
[363948][303][ 45]=30604241516042406
[363949][303][ 46]=30604241516042424
[363950][303][ 47]=30604241516042426
[363951][303][ 48]=30604241516042604
[363952][303][ 49]=30604241516042606
[363953][303][ 50]=30604241516042624
[363954][303][ 51]=30604241516042626
[363955][303][ 52]=30604241516060404
[363956][303][ 53]=30604241516060406
[363957][303][ 54]=30604241516060424
[363958][303][ 55]=30604241516060426
[363959][303][ 56]=30604241516060604
[363960][303][ 57]=30604241516060606
[363961][303][ 58]=30604241516060624
[363962][303][ 59]=30604241516060626
[363963][303][ 60]=30604241516062404
[363964][303][ 61]=30604241516062406
[363965][303][ 62]=30604241516062424
[363966][303][ 63]=30604241516062426
[363967][303][ 64]=30604241516062604
[363968][303][ 65]=30604241516062606
[363969][303][ 66]=30604241516062624
[363970][303][ 67]=30604241516062626
[363971][303][ 68]=30604241516240404
