[88029][ 73][356]=30604241634051414
[88030][ 73][357]=30604241634051416
[88031][ 73][358]=30604241634051434
[88032][ 73][359]=30604241634051436
[88033][ 73][360]=30604241634051614
[88034][ 73][361]=30604241634051616
[88035][ 73][362]=30604241634051634
[88036][ 73][363]=30604241634051636
[88037][ 73][364]=30604241634053414
[88038][ 73][365]=30604241634053416
[88039][ 73][366]=30604241634053434
[88040][ 73][367]=30604241634053436
[88041][ 73][368]=30604241634053614
[88042][ 73][369]=30604241634053616
[88043][ 73][370]=30604241634053634
[88044][ 73][371]=30604241634053636
[88045][ 73][372]=30604241634071414
[88046][ 73][373]=30604241634071416
[88047][ 73][374]=30604241634071434
[88048][ 73][375]=30604241634071436
[88049][ 73][376]=30604241634071614
[88050][ 73][377]=30604241634071616
[88051][ 73][378]=30604241634071634
[88052][ 73][379]=30604241634071636
[88053][ 73][380]=30604241634073414
[88054][ 73][381]=30604241634073416
[89230][ 74][356]=30604241634051415
[89231][ 74][357]=30604241634051417
[89232][ 74][358]=30604241634051435
[89233][ 74][359]=30604241634051437
[89234][ 74][360]=30604241634051615
[89235][ 74][361]=30604241634051617
[89236][ 74][362]=30604241634051635
[89237][ 74][363]=30604241634051637
[89238][ 74][364]=30604241634053415
[89239][ 74][365]=30604241634053417
[89240][ 74][366]=30604241634053435
[89241][ 74][367]=30604241634053437
[89242][ 74][368]=30604241634053615
[89243][ 74][369]=30604241634053617
[89244][ 74][370]=30604241634053635
[89245][ 74][371]=30604241634053637
[89246][ 74][372]=30604241634071415
[89247][ 74][373]=30604241634071417
[89248][ 74][374]=30604241634071435
[89249][ 74][375]=30604241634071437
[89250][ 74][376]=30604241634071615
[89251][ 74][377]=30604241634071617
[89252][ 74][378]=30604241634071635
[89253][ 74][379]=30604241634071637
[89254][ 74][380]=30604241634073415
[89255][ 74][381]=30604241634073417
[90431][ 75][356]=30604241634051504
[90432][ 75][357]=30604241634051506
[90433][ 75][358]=30604241634051524
[90434][ 75][359]=30604241634051526
[90435][ 75][360]=30604241634051704
[90436][ 75][361]=30604241634051706
[90437][ 75][362]=30604241634051724
[90438][ 75][363]=30604241634051726
[90439][ 75][364]=30604241634053504
[90440][ 75][365]=30604241634053506
[90441][ 75][366]=30604241634053524
[90442][ 75][367]=30604241634053526
[90443][ 75][368]=30604241634053704
[90444][ 75][369]=30604241634053706
[90445][ 75][370]=30604241634053724
[90446][ 75][371]=30604241634053726
[90447][ 75][372]=30604241634071504
[90448][ 75][373]=30604241634071506
[90449][ 75][374]=30604241634071524
[90450][ 75][375]=30604241634071526
[90451][ 75][376]=30604241634071704
[90452][ 75][377]=30604241634071706
[90453][ 75][378]=30604241634071724
[90454][ 75][379]=30604241634071726
[90455][ 75][380]=30604241634073504
[90456][ 75][381]=30604241634073506
[90457][ 75][382]=30604241634073524
[90458][ 75][383]=30604241634073526
[91632][ 76][356]=30604241634051505
[91633][ 76][357]=30604241634051507
[91634][ 76][358]=30604241634051525
