TOTAL MIN: X=   -85,92312622070312500 Y= -7723,06835937500000000 Z= -6422,70654296875000000
TOTAL MAX: X=   107,23632812500000000 Y=  5041,75244140625000000 Z=  4578,30908203125000000
TOTAL DIF: X=   193,15945434570312000 Y= 12764,82080078125000000 Z= 11001,01562500000000000
LAT: NORTH=    52,11914062500000000 SOUTH=    52,01477050781250000
LON:  WEST=     4,20227050781250000  EAST=     4,38903808593750000
POS [  2][  2]  XYZ[   -41,62988281250000000 to    -38,59228515625000000][ -7722,65234375000000000 to  -7346,74951171875000000][ -6422,70654296875000000 to  -6117,27685546875000000]  NWSE[    52,02301025390625000][     4,20227050781250000][    52,02026367187500000][     4,20776367187500000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241637373/30604241637373705-21/30604241637373705.nbt
POS [  3][  2]  XYZ[   -41,87475585937500000 to    -38,07592773437500000][ -7347,25195312500000000 to  -6971,34814453125000000][ -6422,15136718750000000 to  -6116,72167968750000000]  NWSE[    52,02301025390625000][     4,20776367187500000][    52,02026367187500000][     4,21325683593750000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241637373/30604241637373714-21/30604241637373714.nbt
POS [  4][  2]  XYZ[   -43,04492187500000000 to    -38,48535156250000000][ -6971,85058593750000000 to  -6595,94726562500000000][ -6422,18945312500000000 to  -6116,19482421875000000]  NWSE[    52,02301025390625000][     4,21325683593750000][    52,02026367187500000][     4,21875000000000000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241637373/30604241637373715-21/30604241637373715.nbt
POS [  5][  2]  XYZ[   -42,67456054687500000 to    -38,49560546875000000][ -6596,44921875000000000 to  -6220,54687500000000000][ -6421,12597656250000000 to  -6115,69628906250000000]  NWSE[    52,02301025390625000][     4,21875000000000000][    52,02026367187500000][     4,22424316406250000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262604-21/30604241726262604.nbt
POS [  6][  2]  XYZ[   -43,61108398437500000 to    -38,86254882812500000][ -6221,04882812500000000 to  -5845,14550781250000000][ -6420,65576171875000000 to  -6115,22607421875000000]  NWSE[    52,02301025390625000][     4,22424316406250000][    52,02026367187500000][     4,22973632812500000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262605-21/30604241726262605.nbt
POS [  7][  2]  XYZ[   -43,95654296875000000 to    -40,53417968750000000][ -5845,64746093750000000 to  -5469,74462890625000000][ -6420,21386718750000000 to  -6114,78417968750000000]  NWSE[    52,02301025390625000][     4,22973632812500000][    52,02026367187500000][     4,23522949218750000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262614-21/30604241726262614.nbt
POS [  8][  2]  XYZ[   -44,65917968750000000 to    -40,85839843750000000][ -5470,24658203125000000 to  -5094,34326171875000000][ -6419,80078125000000000 to  -6114,37109375000000000]  NWSE[    52,02301025390625000][     4,23522949218750000][    52,02026367187500000][     4,24072265625000000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262615-21/30604241726262615.nbt
POS [  9][  2]  XYZ[   -44,58007812500000000 to    -41,53710937500000000][ -5094,84521484375000000 to  -4718,94238281250000000][ -6419,41552734375000000 to  -6113,79882812500000000]  NWSE[    52,02301025390625000][     4,24072265625000000][    52,02026367187500000][     4,24621582031250000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262704-21/30604241726262704.nbt
POS [ 10][  2]  XYZ[   -44,85620117187500000 to    -37,82641601562500000][ -4719,44384765625000000 to  -4343,54101562500000000][ -6419,05859375000000000 to  -6113,62890625000000000]  NWSE[    52,02301025390625000][     4,24621582031250000][    52,02026367187500000][     4,25170898437500000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262705-21/30604241726262705.nbt
POS [ 11][  2]  XYZ[   -45,87207031250000000 to    -41,88427734375000000][ -4344,04248046875000000 to  -3968,13964843750000000][ -6418,91894531250000000 to  -6113,30078125000000000]  NWSE[    52,02301025390625000][     4,25170898437500000][    52,02026367187500000][     4,25720214843750000]  G:/EARTH2/DOWNLOADED_FILES/NEW/DENHAAG/30604241726262/30604241726262714-21/30604241726262714.nbt
