TOTAL MIN: X=   -42,98132300000000300 Y= -4500,72412100000020000 Z= -3669,07617200000000000
TOTAL MAX: X=   101,20600899999999000 Y=  5229,71630900000040000 Z=  3663,71167000000010000
TOTAL DIF: X=   144,18733200000000000 Y=  9730,44043000000060000 Z=  7332,78784199999970000
LAT: NORTH=    52,25097656250000000 SOUTH=    52,18505859375000000
LON:  WEST=     6,82250976562500000  EAST=     6,96533203125000000
POS [  2][  2]  XYZ[    -7,78271484375000000 to     -1,19946300983428960][ -4500,72412109375000000 to  -4125,82861328125000000][ -3668,38525390625000000 to  -3362,95434570312500000]  NWSE[    52,18780517578125000][     6,82250976562500000][    52,18505859375000000][     6,82800292968750000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415273/30604252415273414-21/30604252415273414.nbt
POS [  3][  2]  XYZ[    -8,02526855468750000 to     -3,51025390625000000][ -4126,12500000000000000 to  -3751,04980468750000000][ -3668,63964843750000000 to  -3362,07568359375000000]  NWSE[    52,18780517578125000][     6,82800292968750000][    52,18505859375000000][     6,83349609375000000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415273/30604252415273415-21/30604252415273415.nbt
POS [  4][  2]  XYZ[    -7,30590820312500000 to     12,80822753906250000][ -3752,46044921875000000 to  -3377,21142578125000000][ -3668,35546875000000000 to  -3362,07910156250000000]  NWSE[    52,18780517578125000][     6,83349609375000000][    52,18505859375000000][     6,83898925781250000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415273/30604252415273504-21/30604252415273504.nbt
POS [  5][  2]  XYZ[    -5,62402296066284180 to     22,75476074218750000][ -3377,95019531250000000 to  -3002,88452148437500000][ -3667,81103515625000000 to  -3361,82470703125000000]  NWSE[    52,18780517578125000][     6,83898925781250000][    52,18505859375000000][     6,84448242187500000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415273/30604252415273505-21/30604252415273505.nbt
POS [  6][  2]  XYZ[    -6,82678222656250000 to     20,51025390625000000][ -3003,73925781250000000 to  -2628,66601562500000000][ -3667,58422851562500000 to  -3361,59594726562500000]  NWSE[    52,18780517578125000][     6,84448242187500000][    52,18505859375000000][     6,84997558593750000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415273/30604252415273514-21/30604252415273514.nbt
POS [  7][  2]  XYZ[    -6,05175781250000000 to     19,88623046875000000][ -2629,50634765625000000 to  -2254,45214843750000000][ -3667,38574218750000000 to  -3361,39990234375000000]  NWSE[    52,18780517578125000][     6,84997558593750000][    52,18505859375000000][     6,85546875000000000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415273/30604252415273515-21/30604252415273515.nbt
POS [  8][  2]  XYZ[    -5,80712890625000000 to     25,01672363281250000][ -2255,28417968750000000 to  -1880,22973632812500000][ -3667,02539062500000000 to  -3361,22656250000000000]  NWSE[    52,18780517578125000][     6,85546875000000000][    52,18505859375000000][     6,86096191406250000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415362/30604252415362404-21/30604252415362404.nbt
POS [  9][  2]  XYZ[    -5,35241699218750000 to     29,13830566406250000][ -1881,06335449218750000 to  -1505,99926757812500000][ -3667,07275390625000000 to  -3361,08447265625000000]  NWSE[    52,18780517578125000][     6,86096191406250000][    52,18505859375000000][     6,86645507812500000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415362/30604252415362405-21/30604252415362405.nbt
POS [ 10][  2]  XYZ[    -4,87695312500000000 to     27,35656738281250000][ -1506,85009765625000000 to  -1131,77905273437500000][ -3666,95849609375000000 to  -3360,97021484375000000]  NWSE[    52,18780517578125000][     6,86645507812500000][    52,18505859375000000][     6,87194824218750000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415362/30604252415362414-21/30604252415362414.nbt
POS [ 11][  2]  XYZ[    -3,34667992591857910 to     26,63085937500000000][ -1132,62805175781250000 to   -757,55407714843750000][ -3666,87231445312500000 to  -3360,88378906250000000]  NWSE[    52,18780517578125000][     6,87194824218750000][    52,18505859375000000][     6,87744140625000000]  F:/EARTH3/DOWNLOADED_FILES/NEW/ENSCHEDE/30604252415362/30604252415362415-21/30604252415362415.nbt
