TOTAL MIN: X=  -545,89257799999996000 Y= -6952,06396500000030000 Z= -7978,51855499999970000
TOTAL MAX: X=   556,55835000000002000 Y= 22245,81054700000100000 Z= 15265,76367199999900000
TOTAL DIF: X=  1102,45092800000000000 Y= 29197,87451200000200000 Z= 23244,28222700000000000
LAT: NORTH=    40,78399658203125000 SOUTH=    40,57525634765625000
LON:  WEST=   -74,18792724609375000  EAST=   -73,84185791015625000
POS [  2][  2]  XYZ[340282346638528860000000000000000000000,00000000000000000 to -340282346638528860000000000000000000000,00000000000000000][340282346638528860000000000000000000000,00000000000000000 to -340282346638528860000000000000000000000,00000000000000000][340282346638528860000000000000000000000,00000000000000000 to -340282346638528860000000000000000000000,00000000000000000]  NWSE[    40,57800292968750000][   -74,18792724609375000][    40,57525634765625000][   -74,18518066406250000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251625371/21427251625371707-21/21427251625371707.nbt
POS [  3][  2]  XYZ[   -12,12377929687500000 to     23,48120117187500000][ -6720,35351562500000000 to  -6487,99023437500000000][ -7948,50341796875000000 to  -7642,62695312500000000]  NWSE[    40,57800292968750000][   -74,18518066406250000][    40,57525634765625000][   -74,18243408203125000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251625371/21427251625371716-21/21427251625371716.nbt
POS [  4][  2]  XYZ[     1,54956102371215820 to     29,50610351562500000][ -6488,63085937500000000 to  -6256,18945312500000000][ -7948,30078125000000000 to  -7642,57910156250000000]  NWSE[    40,57800292968750000][   -74,18243408203125000][    40,57525634765625000][   -74,17968750000000000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251625371/21427251625371717-21/21427251625371717.nbt
POS [  5][  2]  XYZ[     4,24804687500000000 to     37,46728515625000000][ -6256,90576171875000000 to  -6024,46630859375000000][ -7948,10693359375000000 to  -7642,22949218750000000]  NWSE[    40,57800292968750000][   -74,17968750000000000][    40,57525634765625000][   -74,17694091796875000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260606-21/21427251634260606.nbt
POS [  6][  2]  XYZ[    21,40844726562500000 to     39,55834960937500000][ -6024,95214843750000000 to  -5792,81738281250000000][ -7947,91894531250000000 to  -7642,04199218750000000]  NWSE[    40,57800292968750000][   -74,17694091796875000][    40,57525634765625000][   -74,17419433593750000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260607-21/21427251634260607.nbt
POS [  7][  2]  XYZ[     6,98559617996215820 to     33,25073242187500000][ -5793,37890625000000000 to  -5561,01904296875000000][ -7947,58447265625000000 to  -7641,86132812500000000]  NWSE[    40,57800292968750000][   -74,17419433593750000][    40,57525634765625000][   -74,17144775390625000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260616-21/21427251634260616.nbt
POS [  8][  2]  XYZ[     5,70312500000000000 to     31,11694335937500000][ -5561,73291015625000000 to  -5329,29296875000000000][ -7947,56445312500000000 to  -7641,68750000000000000]  NWSE[    40,57800292968750000][   -74,17144775390625000][    40,57525634765625000][   -74,16870117187500000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260617-21/21427251634260617.nbt
POS [  9][  2]  XYZ[     7,59594678878784180 to     26,59716796875000000][ -5330,01074218750000000 to  -5097,56835937500000000][ -7947,39843750000000000 to  -7641,52099609375000000]  NWSE[    40,57800292968750000][   -74,16870117187500000][    40,57525634765625000][   -74,16595458984375000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260706-21/21427251634260706.nbt
POS [ 10][  2]  XYZ[    10,34497070312500000 to     39,92529296875000000][ -5098,28710937500000000 to  -4865,84375000000000000][ -7947,23925781250000000 to  -7641,36230468750000000]  NWSE[    40,57800292968750000][   -74,16595458984375000][    40,57525634765625000][   -74,16320800781250000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260707-21/21427251634260707.nbt
POS [ 11][  2]  XYZ[    18,74414062500000000 to     52,03222656250000000][ -4866,56250000000000000 to  -4634,11914062500000000][ -7947,08886718750000000 to  -7641,20996093750000000]  NWSE[    40,57800292968750000][   -74,16320800781250000][    40,57525634765625000][   -74,16046142578125000]  G:/EARTH2/DOWNLOADED_FILES/NEW/NEWYORK/21427251634260/21427251634260716-21/21427251634260716.nbt
