TOTAL MIN: X=   -34,79565429687500000 Y=-25184,03515625000000000 Z= -8113,06250000000000000
TOTAL MAX: X=  1043,94641113281250000 Y= 24304,89843750000000000 Z=  8705,38085937500000000
TOTAL DIF: X=  1078,74206542968750000 Y= 49488,93359375000000000 Z= 16818,44335937500000000
LAT: NORTH=   -22,89550781250000000 SOUTH=   -23,04656982421875000
LON:  WEST=   -43,39599609375000000  EAST=   -42,91259765625000000
POS [  0][  0]  XYZ[   249,86889648437500000 to    287,02124023437500000][-25088,08984375000000000 to -24902,21484375000000000][  8477,00390625000000000 to   8659,65625000000000000]  NWSE[   -22,89550781250000000][   -43,39599609375000000][   -22,89825439453125000][   -43,39324951171875000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243662-21/03706263607243662.nbt
POS [  1][  0]  XYZ[   248,76879882812500000 to    285,38891601562500000][-24902,85546875000000000 to -24734,56445312500000000][  8485,62500000000000000 to   8683,28710937500000000]  NWSE[   -22,89550781250000000][   -43,39324951171875000][   -22,89825439453125000][   -43,39050292968750000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243663-21/03706263607243663.nbt
POS [  2][  0]  XYZ[   247,68139648437500000 to    325,76831054687500000][-24523,56640625000000000 to -24339,84960937500000000][  8564,98535156250000000 to   8704,45800781250000000]  NWSE[   -22,89550781250000000][   -43,39050292968750000][   -22,89825439453125000][   -43,38775634765625000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243672-21/03706263607243672.nbt
POS [  3][  0]  XYZ[   246,60717773437500000 to    326,54809570312500000][-24340,49609375000000000 to -24165,25781250000000000][  8564,91601562500000000 to   8704,00390625000000000]  NWSE[   -22,89550781250000000][   -43,38775634765625000][   -22,89825439453125000][   -43,38500976562500000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243673-21/03706263607243673.nbt
POS [  4][  0]  XYZ[   245,54565429687500000 to    252,34692382812500000][-23866,88085937500000000 to -23804,41406250000000000][  8506,89355468750000000 to   8596,33007812500000000]  NWSE[   -22,89550781250000000][   -43,38500976562500000][   -22,89825439453125000][   -43,38226318359375000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243762-21/03706263607243762.nbt
POS [  5][  0]  XYZ[340282346638528860000000000000000000000,00000000000000000 to -340282346638528860000000000000000000000,00000000000000000][340282346638528860000000000000000000000,00000000000000000 to -340282346638528860000000000000000000000,00000000000000000][340282346638528860000000000000000000000,00000000000000000 to -340282346638528860000000000000000000000,00000000000000000]  NWSE[   -22,89550781250000000][   -43,38226318359375000][   -22,89825439453125000][   -43,37951660156250000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243763-21/03706263607243763.nbt
POS [  6][  0]  XYZ[   243,45727539062500000 to    305,48120117187500000][-23496,72265625000000000 to -23215,12890625000000000][  8396,78515625000000000 to   8702,67382812500000000]  NWSE[   -22,89550781250000000][   -43,37951660156250000][   -22,89825439453125000][   -43,37677001953125000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243772-21/03706263607243772.nbt
POS [  7][  0]  XYZ[   242,43164062500000000 to    362,84790039062500000][-23215,77343750000000000 to -22933,94531250000000000][  8396,35058593750000000 to   8702,24023437500000000]  NWSE[   -22,89550781250000000][   -43,37677001953125000][   -22,89825439453125000][   -43,37402343750000000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607243/03706263607243773-21/03706263607243773.nbt
POS [  8][  0]  XYZ[   241,41894531250000000 to    334,18115234375000000][-22934,59179687500000000 to -22759,50781250000000000][  8395,92382812500000000 to   8669,78710937500000000]  NWSE[   -22,89550781250000000][   -43,37402343750000000][   -22,89825439453125000][   -43,37127685546875000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607252/03706263607252662-21/03706263607252662.nbt
POS [  9][  0]  XYZ[   110,20678710937500000 to    206,12524414062500000][-22653,41015625000000000 to -22371,58984375000000000][  8395,50390625000000000 to   8701,38671875000000000]  NWSE[   -22,89550781250000000][   -43,37127685546875000][   -22,89825439453125000][   -43,36853027343750000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607252/03706263607252627-21/03706263607252627.nbt
POS [ 10][  0]  XYZ[    97,00830078125000000 to    175,01904296875000000][-22372,22656250000000000 to -22090,40625000000000000][  8395,08691406250000000 to   8700,96972656250000000]  NWSE[   -22,89550781250000000][   -43,36853027343750000][   -22,89825439453125000][   -43,36578369140625000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607252/03706263607252636-21/03706263607252636.nbt
POS [ 11][  0]  XYZ[    92,63476562500000000 to    171,72607421875000000][-22091,04687500000000000 to -21809,22656250000000000][  8394,67480468750000000 to   8700,55664062500000000]  NWSE[   -22,89550781250000000][   -43,36578369140625000][   -22,89825439453125000][   -43,36303710937500000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607252/03706263607252637-21/03706263607252637.nbt
POS [ 12][  0]  XYZ[    92,21289062500000000 to    179,80395507812500000][-21809,86328125000000000 to -21528,04492187500000000][  8394,26855468750000000 to   8700,15039062500000000]  NWSE[   -22,89550781250000000][   -43,36303710937500000][   -22,89825439453125000][   -43,36029052734375000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607252/03706263607252726-21/03706263607252726.nbt
POS [ 13][  0]  XYZ[    86,63452148437500000 to    146,33203125000000000][-21528,68359375000000000 to -21246,86523437500000000][  8393,86718750000000000 to   8699,75000000000000000]  NWSE[   -22,89550781250000000][   -43,36029052734375000][   -22,89825439453125000][   -43,35754394531250000]  G:/EARTH2/DOWNLOADED_FILES/NEW/RIO/03706263607252/03706263607252727-21/03706263607252727.nbt
